,Name,Exp Type,Adapt Direction,Mu,Sigma,Floor,Ceiling,R^2
0,anb,Unidirectional Adapt,cw,27.625773666374393,11.865467858359658,0.0,0.7725935793090047,0.9898750012042136
1,anb,Bidirectional Adapt,,0.24384593994074857,4.977509809587861,0.0020356153552292607,0.9989490508012443,0.9998234253125603
2,anb,No Adapt,,-0.8382477390446739,14.484423266120073,0.0830786767135402,0.9504321196834666,0.9933896903928162
3,jdg,No Adapt,,-0.8543061506429444,9.893503421545477,0.2297960841588229,0.7888939555007907,0.972515925758696
4,jdg,Bidirectional Adapt,,0.30140552086557926,4.5079934332738585,0.19327404497715803,0.8407231819331507,0.9711190501170714
5,jdg,Unidirectional Adapt,ccw,-10.228920115412762,11.751841302205529,0.329991658144557,0.8221414488443848,0.9207531316636832
6,ksm,Bidirectional Adapt,,0.3783341023801385,1.1940172476788915,0.03999999999951225,0.9650000000159143,0.9964101011955082
7,ksm,No Adapt,,1.2694678748589707,10.08066004907801,0.13503568908699304,0.8889895948635753,0.9884008392278577
8,ksm,Unidirectional Adapt,ccw,-30.872016625972172,18.20537988159345,0.043707580437444424,0.6802287182601139,0.9324816827981187
9,kxt,Bidirectional Adapt,,2.189745292888523,6.551256804675152,0.016370916244992168,0.993627908439079,0.9993072061606546
10,kxt,Unidirectional Adapt,cw,44.999587882158266,12.770139813087862,0.03418719303304788,0.5985310761030707,0.9747878856465015
11,kxt,No Adapt,,-1.3917800390651822,6.025480917623541,0.1588159117242332,0.8577128944854484,0.9772023883694372
12,mjl,Unidirectional Adapt,cw,36.463514604512895,9.373070950799761,0.01830869891460687,0.8918268513824137,0.991734654689806
13,mjl,Bidirectional Adapt,,-0.7431209165384499,8.159039989425015,0.025358667276988867,0.9923997768638813,0.9984549470809867
14,mjl,No Adapt,,-1.338144898879848,9.111656904380853,0.1649940944694588,0.8747831793691959,0.9797957758434825
15,mxw,No Adapt,,1.487910156654632,10.817068223475822,0.1550809762753363,0.8596532150803622,0.9916378312080424
16,mxw,Unidirectional Adapt,ccw,-44.52768762494582,13.840999564874615,0.13438903949507688,0.9037911528368026,0.972572249228127
17,mxw,Bidirectional Adapt,,-0.14362020928327351,5.119818969689206,0.0014223651166336906,0.9953314248674504,0.9990361395082641
18,nst,Unidirectional Adapt,ccw,-40.24318770122487,22.711211600740114,0.36213466809480244,0.8493713011813688,0.8808620661864285
19,nst,Bidirectional Adapt,,-0.685535163402998,6.189510537893456,0.20378812226822596,0.8721618740451303,0.99386049065856
20,nst,No Adapt,,-4.497411064606835,8.261634494450355,0.16865453241293665,0.8420595824302901,0.9887171986451592
21,nxn,Unidirectional Adapt,cw,27.884135925823962,16.14414302079464,0.20082443763747615,0.7024709486765025,0.9573440384037438
22,nxn,Bidirectional Adapt,,0.28651733181478756,6.687365270698577,0.0836384311546233,0.9561339688082886,0.9902557418917184
23,nxn,No Adapt,,0.6723186010085908,4.125601162996716,0.22332239747659458,0.8476769323379122,0.9817581774535548
24,nxs,Bidirectional Adapt,,3.168811819384636,5.928304069900626,0.028566093353871135,0.9588895469856183,0.9987580367847587
25,nxs,No Adapt,,-1.6513903753265782,5.372236546551037,0.22813580278314985,0.7762870446885287,0.9451071473826078
26,nxs,Unidirectional Adapt,ccw,-90.0,24.132188566639908,0.5,0.9849372077037694,0.008213710050116174
27,sxk,Bidirectional Adapt,,-0.4735431597247733,5.280847643181339,0.0021181976633623326,0.9962694679529627,0.9998811801995868
28,sxk,No Adapt,,-0.7614728029877371,5.105449274630774,0.18209341538891732,0.8182540123084989,0.9864634327751799
29,sxk,Unidirectional Adapt,cw,37.459655028862876,19.6360430455078,0.0,0.5041483028984635,0.888587440352689
30,tee,Bidirectional Adapt,,2.5730407037402516,4.472926633559411,0.09028798716048105,0.8544840438313005,0.9927338351154745
31,tee,Unidirectional Adapt,ccw,2.236251158116523,12.708469117648352,0.18617838718781876,1.0,0.8832640529229296
32,tee,No Adapt,,-0.49483323080362923,7.060556509734045,0.16691907992745444,0.7222896490706688,0.9646622553022218
33,txd,No Adapt,,-1.1484890877366314,12.956346167177424,0.18281680188990979,0.8807931854160921,0.9814751272762716
34,txd,Bidirectional Adapt,,-2.210681625684828,5.5323218004390915,0.0441818846710287,0.9792861921622273,0.9989871033830403
35,txd,Unidirectional Adapt,cw,7.069850593557121,15.329170918290504,0.0,0.7742898525854205,0.9675373204413439
