,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,mirror,24.0,False,2.247756242752075,1.0
1,right,log,16.0,True,1.4154810905456543,1.0
2,left,mirror,40.0,False,1.489342451095581,1.0
3,right,log,-40.0,False,2.7218499183654785,1.0
4,left,log,32.0,False,1.5441546440124512,1.0
5,right,mirror,-40.0,False,1.3796725273132324,1.0
6,right,mirror,-32.0,False,2.142442226409912,1.0
7,left,log,8.0,False,1.712045669555664,1.0
8,left,log,32.0,False,1.628732442855835,1.0
9,left,mirror,32.0,False,2.5472333431243896,1.0
10,right,log,-16.0,False,2.571829319000244,1.0
11,left,log,0.0,False,2.8287553787231445,1.0
12,right,mirror,40.0,True,1.349100112915039,1.0
13,right,mirror,-40.0,False,2.0169758796691895,1.0
14,right,log,8.0,True,2.8058218955993652,1.0
15,right,log,8.0,True,1.4889304637908936,1.0
16,right,log,24.0,True,0.9013469219207764,1.0
17,left,log,-8.0,True,1.4521303176879883,1.0
18,right,mirror,40.0,True,1.3694753646850586,1.0
19,left,mirror,-32.0,True,2.031716823577881,1.0
20,right,log,16.0,True,1.7773029804229736,1.0
21,left,mirror,-32.0,True,1.6829991340637207,1.0
22,left,log,-24.0,True,1.4577844142913818,1.0
23,left,mirror,-16.0,True,1.2946500778198242,1.0
24,left,mirror,24.0,False,1.3733229637145996,1.0
25,right,log,16.0,True,1.4752867221832275,1.0
26,right,log,0.0,False,1.9154748916625977,1.0
27,right,log,40.0,True,3.003542184829712,1.0
28,right,log,16.0,True,10.426387071609497,1.0
29,right,log,24.0,True,1.468550205230713,1.0
30,right,log,16.0,True,1.3227653503417969,1.0
31,right,log,0.0,False,1.8129370212554932,1.0
32,right,mirror,24.0,True,1.6207642555236816,1.0
33,right,log,16.0,True,2.16033673286438,1.0
34,left,log,-40.0,True,1.6225171089172363,1.0
35,right,log,8.0,True,2.4340415000915527,1.0
36,left,log,-24.0,True,1.9457495212554932,1.0
37,right,log,8.0,True,1.658411979675293,1.0
38,left,mirror,-8.0,True,1.464618444442749,1.0
39,left,log,-24.0,True,1.4781122207641602,1.0
40,right,log,40.0,True,1.578479290008545,1.0
41,right,log,40.0,True,1.3450298309326172,1.0
42,right,log,0.0,False,1.7232918739318848,1.0
43,right,log,0.0,False,0.9662566184997559,1.0
44,left,mirror,-16.0,True,1.5454037189483643,1.0
45,right,log,40.0,True,1.7377140522003174,1.0
46,right,log,16.0,True,1.8960654735565186,1.0
47,left,mirror,-32.0,True,2.231109380722046,1.0
48,left,mirror,-24.0,True,1.6119074821472168,1.0
49,right,log,16.0,True,1.3544912338256836,1.0
50,left,mirror,-16.0,True,1.3280003070831299,1.0
51,left,log,-8.0,True,1.323368787765503,1.0
52,left,log,-16.0,True,0.14140939712524414,1.0
53,left,log,-16.0,True,1.4505901336669922,1.0
54,left,mirror,-24.0,True,1.5274057388305664,1.0
55,right,log,16.0,True,2.2640137672424316,1.0
56,right,mirror,16.0,True,2.276456832885742,1.0
57,left,mirror,-24.0,True,1.7462856769561768,1.0
58,right,mirror,40.0,True,2.8851571083068848,1.0
59,left,mirror,-16.0,True,2.092458486557007,1.0
60,right,log,8.0,True,1.4885618686676025,1.0
61,left,mirror,-24.0,True,1.3894357681274414,1.0
62,right,log,40.0,True,1.3141674995422363,1.0
63,right,log,8.0,True,1.766167163848877,1.0
64,left,mirror,-8.0,True,2.0797932147979736,1.0
65,right,mirror,24.0,True,1.425710678100586,1.0
66,right,mirror,16.0,True,1.3633739948272705,1.0
67,right,log,8.0,True,1.2790992259979248,1.0
68,left,mirror,-40.0,True,1.6181340217590332,1.0
69,left,log,-32.0,True,1.5276269912719727,1.0
70,right,log,24.0,True,1.5968170166015625,1.0
71,left,mirror,-40.0,True,1.5681726932525635,1.0
72,left,log,-24.0,True,1.4223928451538086,1.0
73,left,mirror,-8.0,True,2.4643259048461914,1.0
74,left,mirror,24.0,False,0.05400228500366211,1.0
75,right,mirror,24.0,True,2.2611653804779053,1.0
76,left,mirror,0.0,False,1.5214533805847168,1.0
77,right,log,8.0,True,1.3238444328308105,1.0
78,right,mirror,24.0,True,1.5630333423614502,1.0
79,right,log,0.0,False,1.6490442752838135,1.0
80,left,log,-40.0,True,1.912811279296875,1.0
81,right,log,16.0,True,1.9580097198486328,1.0
82,right,log,16.0,True,1.3488428592681885,1.0
83,right,mirror,24.0,True,1.646514892578125,1.0
84,left,log,-24.0,True,2.573434591293335,1.0
85,left,log,-16.0,True,1.7356343269348145,1.0
86,right,mirror,32.0,True,2.2234275341033936,1.0
