,Response,Test Stim,Test Speed,Correct,Time,Stim Time
0,left,log,-8.0,True,0.7651829719543457,1.0
1,left,mirror,-32.0,True,0.582158088684082,1.0
2,right,mirror,24.0,True,0.5489661693572998,1.0
3,left,mirror,-8.0,True,0.5147008895874023,1.0
4,left,log,-16.0,True,0.5650339126586914,1.0
5,right,mirror,8.0,True,0.4655780792236328,1.0
6,left,mirror,-8.0,True,0.5160162448883057,0.8714285714285714
7,left,mirror,-40.0,True,0.48287510871887207,0.8714285714285714
8,right,log,16.0,True,0.548569917678833,0.8714285714285714
9,right,log,24.0,True,0.5165717601776123,0.8714285714285714
10,right,log,32.0,True,0.5160641670227051,0.8714285714285714
11,left,mirror,-24.0,True,0.43288326263427734,0.8714285714285714
12,left,mirror,-24.0,True,0.532785177230835,0.7428571428571429
13,left,mirror,-24.0,True,0.5827460289001465,0.7428571428571429
14,left,mirror,0.0,False,0.6823670864105225,0.7428571428571429
15,left,log,-40.0,True,1.2472169399261475,0.7428571428571429
16,left,log,0.0,False,0.9121971130371094,0.7428571428571429
17,right,log,32.0,True,0.6334691047668457,0.7428571428571429
18,left,mirror,-40.0,True,0.5152750015258789,0.7428571428571429
19,right,mirror,32.0,True,0.4487171173095703,0.7428571428571429
20,left,mirror,-40.0,True,0.46526002883911133,0.7428571428571429
21,right,log,32.0,True,0.48251795768737793,0.7428571428571429
22,left,mirror,40.0,False,0.6326930522918701,0.6142857142857142
23,left,log,-32.0,True,0.5810348987579346,0.6142857142857142
24,left,mirror,-40.0,True,0.736975908279419,0.6142857142857142
25,right,mirror,32.0,True,0.46548891067504883,0.6142857142857142
26,right,mirror,16.0,True,0.5506880283355713,0.6142857142857142
27,left,mirror,-32.0,True,0.5832259654998779,0.6142857142857142
28,right,mirror,8.0,True,0.6274271011352539,0.48571428571428565
29,left,log,-32.0,True,0.5159709453582764,0.48571428571428565
30,left,log,-40.0,True,0.49907612800598145,0.48571428571428565
31,left,mirror,-40.0,True,8.632028818130493,0.48571428571428565
32,left,mirror,-8.0,True,0.5875849723815918,0.48571428571428565
33,right,log,0.0,False,0.5085639953613281,0.48571428571428565
34,right,log,16.0,True,0.46480512619018555,0.3571428571428571
35,left,log,-24.0,True,0.41009998321533203,0.3571428571428571
36,right,mirror,32.0,True,0.430980920791626,0.3571428571428571
37,left,log,-40.0,True,0.3665201663970947,0.3571428571428571
38,right,mirror,32.0,True,0.38277292251586914,0.3571428571428571
39,right,mirror,32.0,True,0.39736294746398926,0.3571428571428571
40,left,mirror,-40.0,True,0.39893293380737305,0.22857142857142843
41,left,mirror,-16.0,True,0.39684200286865234,0.22857142857142843
42,left,log,-8.0,True,0.43122029304504395,0.22857142857142843
43,right,mirror,32.0,True,0.3913888931274414,0.22857142857142843
44,left,mirror,-24.0,True,0.4310727119445801,0.22857142857142843
45,right,log,-16.0,False,0.43901920318603516,0.22857142857142843
46,right,log,16.0,True,0.625023365020752,0.1
47,left,log,-16.0,True,0.3704409599304199,0.1
48,left,log,-32.0,True,0.3381791114807129,0.1
49,left,mirror,-40.0,True,0.3964872360229492,0.1
50,left,mirror,8.0,False,0.3784942626953125,0.1
51,left,log,-16.0,True,0.3027832508087158,0.1
